region,year,pov_rate,pov_gap,gini_index,theil_index
,2018,.05559906,.01092003,.47091019,.4190599
,2021,.051136363,.004486864,.29280058,.15725194
BOUCLE DU MOUHOUN,2018,.056801908,.010553863,.36057982,.2319829
BOUCLE DU MOUHOUN,2021,.092886269,.016225154,.34491754,.22575398
CASCADES,2018,.021356784,.0018449706,.3840405,.25080347
CASCADES,2021,.013752456,.0017373072,.30261496,.17891638
CENTRE,2018,.0081370454,.00097234797,.43104592,.32856819
CENTRE,2021,.00085763296,.000050864233,.38030764,.26280606
CENTRE-EST,2018,.1751577,.042487539,.39035249,.28005213
CENTRE-EST,2021,.031614784,.0047524432,.34556583,.20482498
CENTRE-NORD,2018,.14040405,.025422398,.38426813,.27381447
CENTRE-NORD,2021,.081832215,.01557739,.35046807,.20788535
CENTRE-OUEST,2018,.059638552,.011106009,.38767868,.28548706
CENTRE-OUEST,2021,.024146982,.0018606582,.35993969,.22997767
CENTRE-SUD,2018,.019402985,.0024623221,.35555682,.25702637
CENTRE-SUD,2021,.061929595,.0085979206,.37380847,.26010093
EST,2018,.016739447,.001785374,.37868336,.27491659
EST,2021,.060672916,.010155114,.35579884,.2400049
HAUTS-BASSINS,2018,.053456876,.0092946906,.37675545,.26327267
HAUTS-BASSINS,2021,.042900532,.00794899,.35279408,.2088576
NORD,2018,.13304411,.021508131,.36950943,.239463
NORD,2021,.12103465,.028814083,.34585369,.21093597
PLATEAU CENTRAL,2018,.029296875,.0043446911,.38187861,.27627346
PLATEAU CENTRAL,2021,.046329293,.0074684201,.34594485,.23151408
SAHEL,2018,.047619049,.0075416355,.39126763,.26895696
SAHEL,2021,.093078762,.014180184,.39015552,.29103342
SUD-OUEST,2018,.019058963,.0027160954,.37150449,.2372971
SUD-OUEST,2021,.044362292,.0061110007,.41173446,.29654452
