model,variable,coefficient,obs,r2
model1,age,7.013792643542581,47151,.1755059134548477
model1,adult,-155.1092128960304,47151,.1755059134548477
model1,adult_working,331.630432119999,47151,.1755059134548477
model1,1b.educat4,0,47151,.1755059134548477
model1,2.educat4,67.74273063932007,47151,.1755059134548477
model1,3.educat4,995.953067451028,47151,.1755059134548477
model1,4.educat4,4310.042367489064,47151,.1755059134548477
model1,5.educat4,-143.4596042401108,47151,.1755059134548477
model1,1b.literacy,0,47151,.1755059134548477
model1,2.literacy,-470.6080225812834,47151,.1755059134548477
model1,3.literacy,113.2160372160074,47151,.1755059134548477
model1,2018b.year,0,47151,.1755059134548477
model1,2021.year,-13.87877346944377,47151,.1755059134548477
model1,_cons,1698.768094517073,47151,.1755059134548477
model2,age,9.611755749929275,21764,.2043536815413651
model2,adult,.2769490240580484,21764,.2043536815413651
model2,adult_working,64.24749022538009,21764,.2043536815413651
model2,1b.educat4,0,21764,.2043536815413651
model2,2.educat4,-27.79640346135248,21764,.2043536815413651
model2,3.educat4,1037.663478033533,21764,.2043536815413651
model2,4.educat4,5122.966753101769,21764,.2043536815413651
model2,5.educat4,-142.0973756171737,21764,.2043536815413651
model2,1b.literacy,0,21764,.2043536815413651
model2,2.literacy,-624.6189584855375,21764,.2043536815413651
model2,3.literacy,2.205201610465885,21764,.2043536815413651
model2,_cons,1762.64814637239,21764,.2043536815413651
model3,age,4.397268450967063,25387,.1564821682492848
model3,adult,-184.9509791989378,25387,.1564821682492848
model3,adult_working,481.08194794423,25387,.1564821682492848
model3,1b.educat4,0,25387,.1564821682492848
model3,2.educat4,108.7197935775135,25387,.1564821682492848
model3,3.educat4,915.9877479308561,25387,.1564821682492848
model3,4.educat4,3595.836206738292,25387,.1564821682492848
model3,5.educat4,-162.7772701991982,25387,.1564821682492848
model3,1b.literacy,0,25387,.1564821682492848
model3,2.literacy,-361.2502633587127,25387,.1564821682492848
model3,3.literacy,197.7713988415872,25387,.1564821682492848
model3,_cons,1669.860275149906,25387,.1564821682492848
model4,age,7.013792643542581,47151,.1755059134548477
model4,adult,-155.1092128960304,47151,.1755059134548477
model4,adult_working,331.630432119999,47151,.1755059134548477
model4,1b.educat4,0,47151,.1755059134548477
model4,2.educat4,67.74273063932007,47151,.1755059134548477
model4,3.educat4,995.953067451028,47151,.1755059134548477
model4,4.educat4,4310.042367489064,47151,.1755059134548477
model4,5.educat4,-143.4596042401108,47151,.1755059134548477
model4,1b.literacy,0,47151,.1755059134548477
model4,2.literacy,-470.6080225812834,47151,.1755059134548477
model4,3.literacy,113.2160372160074,47151,.1755059134548477
model4,2018b.year,0,47151,.1755059134548477
model4,2021.year,-13.87877346944377,47151,.1755059134548477
model4,_cons,1698.768094517073,47151,.1755059134548477
