region,year,poverty_rate,poverty_gap,gini_index,theil_index
,2018,.078351267,.016740642,5.0350432,1.1287712
,2021,.051646806,.0042317905,.77468228,-.042902708
BOUCLE DU MOUHOUN,2018,.065278612,.011732562,.79460168,.016366541
BOUCLE DU MOUHOUN,2021,.096387871,.017442562,1.0120527,.02939857
CASCADES,2018,.016341042,.0012986107,.84917974,.071454801
CASCADES,2021,.014711932,.0018724609,2.5145872,.11454314
CENTRE,2018,.0065346262,.00083920604,2.4601026,.74773079
CENTRE,2021,.0003968683,.000023328321,1.1689818,.32036388
CENTRE-EST,2018,.16447498,.040006109,.91161805,.2324328
CENTRE-EST,2021,.026117932,.0037512777,.68051618,.1292813
CENTRE-NORD,2018,.1711019,.031516425,.452999,-.041551977
CENTRE-NORD,2021,.096672483,.017620787,1.2419513,.014105325
CENTRE-OUEST,2018,.06282308,.011726083,.4557296,.0084670642
CENTRE-OUEST,2021,.036347482,.0029418278,.43690729,-.028024632
CENTRE-SUD,2018,.014484419,.0017552389,.84931934,.036387153
CENTRE-SUD,2021,.086704955,.011763263,.58555621,-.017558746
EST,2018,.020771768,.0017035803,.56036013,-.1687033
EST,2021,.070285179,.013175737,.83914101,-.082771674
HAUTS-BASSINS,2018,.043867774,.0076424698,2.5691919,.4076094
HAUTS-BASSINS,2021,.047041751,.0092007667,.53230327,.15403897
NORD,2018,.17692508,.029904159,.45014885,.051527269
NORD,2021,.13751036,.030487565,.42683041,.042554393
PLATEAU CENTRAL,2018,.044073164,.0067733712,1.2291942,.069069162
PLATEAU CENTRAL,2021,.048284043,.0080054794,.41534919,-.073760897
SAHEL,2018,.062313911,.010261985,1.2614183,-.059780229
SAHEL,2021,.14631103,.022564163,.76316291,-.055558678
SUD-OUEST,2018,.019020908,.0025685534,.55295938,-.0065128831
SUD-OUEST,2021,.062609427,.008564542,.91356307,.01285094
